id,tweet,label
1329771561671417856,"Today Pfizer said it's asking U.S. regulators to allow emergency use of its COVID-19 vaccine.

https://t.co/1LXXp9iYRw @cbschicago #Pfizer #vaccine",1
1266030447919804420,"Good news on development of new #covid19 #vaccines. Be sure to check out our website for how we can assist you in the #safety and #efficacy assessment of novel therapeutics, particularly those tailored to COVID-19.  https://t.co/JjUrOnLSyd via @medical_xpress",0
1238769307456172034,Once they get a corona vaccine I don’t want to see any of you antivaxxers getting one. Don’t be a hypocrite.,0
1328814394822705152,Free flu vaccines and COVID-19 tests! https://t.co/zXiJYnBofq,1
1254610119876280320,"Bollywood Gupshup,Russian Researchers Will Test COVID19 Vaccine Using Special Mice - Consumer Watchdog  https://t.co/PaMmo29UPh",0
1326040550957588480,I will not be taking this COVID-19 vaccine. A vaccine under 12 months is suicide. Anyone that disagrees feel free to take it first and allow me to apply technology to track every metric I can. #YouFirst,2
1325861441916833794,5) KEY thing to know—mRNA based Pfizer vaccine does *not* contain the virus itself. It only encodes the “spike protein” receptor portion that latches onto human cells. Vaccines are clever immune system training programs for your body. This mRNA vaccine cannot give you #COVID19. https://t.co/zkiuUsWoK1,0
1325919597795700736,"This is pretty good news, but of course there is more work to be done. If we get a proven vaccine in 2021, I’ll be ecstatic. https://t.co/NWXRJ6RRo1",0
1325767708386816000,"Huge news. Good for all of us regardless of our political opinions.

#vaccine #covid19 https://t.co/SirW4X3CLz",0
1329092054836678656,"Dolly Parton’s $1 million donation helped fund Moderna’s COVID-19 vaccine 
https://t.co/tszIxxevKc",1
1326211510557958144,Markets gone ‘rogue’ on coronavirus vaccine news face tough questions https://t.co/5U5eoZQolU,1
1342311429429317632,From FireEye to Twitter to Covid-19 vaccine research ⁠— these were the biggest cyber attacks of 2020  https://t.co/gakyigiB8k via @BiIndia,1
1325673710129385472,UK's coronavirus vaccine taskforce chief faces questions over biotech fund https://t.co/MJZkM79FlN,1
1329213267177218048,"Investors are looking past the presidential election and toward a future with a safe and effective COVID-19 vaccine, according to Ameriprise Chief Market Strategist David Joy.  
 https://t.co/IC1hSBOJen",1
1325864784026275851,"Seems like a good news
++++++++++++++++
Covid-19 vaccine from Pfizer and BioNTech is strongly effective, early data from large trial indicate https://t.co/r1g4S8DNWg via @statnews",0
1242486272989462528,"If the world doesn't get a vaccine quickly to end #Coronavirus pandemic, The world especially Africa will soon be hit by something more deadlier than covid-19 Which is ""HUNGER"" remember about 10 million people in Nigeria presently experience chronic #hunger & the consequences  https://t.co/3bWDub4EDI",0
1331136477049155585,@RahulGandhi 1. Government should provide to poor people only because they cannot afford. 2. Only poor will get. 3. Money lying unused in PM Rahat should be used for Covid 19 vaccine for poor people. This is useless kosh and should by closed after using the money available in it.,0
1334160426968502275,"Today’s coronavirus news: Ontario is reporting 1,723 cases and 35 new deaths; U.K. first to OK Pfizer COVID-19 vaccine for emergency use; Thornhill’s Promenade Mall, T&amp;T, Longo’s, Dollarama charged
 https://t.co/cwvNkcCQt4",1
1325891033746595851,Good news on a vaccine but only if you can afford it. 80% of countries will struggle without generic versions and Pfizer is committed to maximise profits from a patent. The world needs a patent-free solution. #TyskySour https://t.co/otJQgqHWH7,0
1336321853837561857,"Thank you to 'young at heart' Ivy Smith, 97, who was one of the first people to have the #Covid19Vaccine today at #WilliamHarveyHospital. People will be notified as soon as the vaccine becomes available to them. Find out more: https://t.co/YEvHbLEm6o https://t.co/p5y8ZHKt4v",0
1325795970119065600,"@NikkiHaley @pfizer @realDonaldTrump Nothing to do with Trump. Delete tweet, you look foolish.",1
1326001997150003200,"@abcnews Covid19 vaccine ingredients need to be know. Does it contain DNA from monkey, swine, dog, human, or aluminium, formaldehyde, mercury and or other toxins?",2
1335233753975812096,A few hours of flu-like symptoms? 'Absolutely' worth it for this woman who was in a Covid-19 vaccine trial https://t.co/txSDxpJjnL,0
1326963359728553984,via @PerilofAfrica #News Moderna shares rise as investors await its COVID vaccine data: A surge in COVID-19 infections across the US is giving pharmaceutical companies working on vaccines the data they need. https://t.co/mDO3xiV539 https://t.co/ap6zO5Wmtk,1
1325716028387520513,Iran preparing to unveil human coronavirus vaccines soon https://t.co/byEvAJz8hJ https://t.co/RjGBIQfXbV,1
1325891821214511104,"While we still have some time before the #vaccine is approved for use, this is definitely good news. It now appears that the vaccine against the dreaded #COVID19  is closer than ever.",0
1325878299936120838,Good News: Pfizer COVID-19 vaccine 90 percent effective in phase 3 https://t.co/cXb4WUZ0VV,0
1328371596390764547,Great thread by @nataliexdean about today's Moderna vaccine news https://t.co/IVqszNrFxm,1
1326180169481150464,This vaccine is fake fake why do you want to kill more people Bihari why send it back to who ever sent it to you fuck you Buhari https://t.co/LRkKZ9rKQx,2
1326079650263683072,"An 80% uptake of a COVID-19 vaccine may be needed to protect communities from the novel coronavirus, but volatile levels of misinformation and vaccine mistrust could undermine efforts to tackle the pandemic, British scientists said on Tuesday. READ: https://t.co/6WcjLJ7DGC https://t.co/t5UKcebm1F",1
1336329172050800640,"Doris going out raving. 

""A 90-year-old UK woman becomes the first in the world to receive a COVID-19 vaccine outside of trial""  https://t.co/rGDrMauSW1",1
1325770589387296768,"This is great news!
Pfizer says early analysis shows its Covid-19 vaccine is 90% effective. 
https://t.co/Jj5acjP6bF",0
1334623342700228617,@mmpadellan getting the Covid19 vaccine for me and my little family happy.,0
1327593671043149825,"Anyone, please help me out. My mum has been talking crazy about the vaccine for Covid-19. Idiot la diaorg yang share benda merepek kat ws ni. Ish",1
1326095487674568704,"Good luck with that vaccine theory , mutation like this mean we cannot have a vaccine for a long time. https://t.co/eETt5NHkbe",0
1326150469484486657,Would you get the vaccine? https://t.co/eACgvcujUp,1
1325805873340567560,Let all politicians and their families be the first to take it. And then lets see how they are doing in 6 months or less. These vaccines take years to make and hopefully get it right! No way this has taken that long to make so i won’t be getting one and never will 🙄 https://t.co/PcFL4NXNZM,2
1336149186236956672,"Hailing 'turning point', Britain begins roll-out of Pfizer's COVID-19 vaccine https://t.co/GRovzD9WFU",1
1340666870857420800,Seeing the evil self-dealing fuckers who denied the significance of Covid being first to get a vaccine has me rearranging the players on my Fantasy Bastille’s Team Guillotine and Team Bayonet.,0
