id,tweet,label
1329771561671417856,today pfizer said it s asking u s regulators to allow emergency use of its covid 19 vaccine cbschicago pfizer vaccine,Neutral
1266030447919804420,good news on development of new covid19 vaccines be sure to check out our website for how we can assist you in the safety and efficacy assessment of novel therapeutics particularly those tailored to covid 19 via medical_xpress,ProVax
1238769307456172034,once they get a corona vaccine i don t want to see any of you antivaxxers getting one don t be a hypocrite,ProVax
1328814394822705152,free flu vaccines and covid 19 tests,Neutral
1254610119876280320,bollywood gupshup russian researchers will test covid19 vaccine using special mice consumer watchdog,ProVax
1326040550957588480,i will not be taking this covid 19 vaccine a vaccine under 12 months is suicide anyone that disagrees feel free to take it first and allow me to apply technology to track every metric i can youfirst,AntiVax
1325861441916833794,5 key thing to know mrna based pfizer vaccine does not contain the virus itself it only encodes the spike protein receptor portion that latches onto human cells vaccines are clever immune system training programs for your body this mrna vaccine cannot give you covid19,ProVax
1325919597795700736,this is pretty good news but of course there is more work to be done if we get a proven vaccine in 2021 i ll be ecstatic,ProVax
1325767708386816000,huge news good for all of us regardless of our political opinions vaccine covid19,ProVax
1329092054836678656,dolly parton s 1 million donation helped fund moderna s covid 19 vaccine,Neutral
1326211510557958144,markets gone rogue on coronavirus vaccine news face tough questions,Neutral
1342311429429317632,from fireeye to twitter to covid 19 vaccine research these were the biggest cyber attacks of 2020 via biindia,Neutral
1325673710129385472,uk s coronavirus vaccine taskforce chief faces questions over biotech fund,Neutral
1329213267177218048,investors are looking past the presidential election and toward a future with a safe and effective covid 19 vaccine according to ameriprise chief market strategist david joy,Neutral
1325864784026275851,seems like a good news covid 19 vaccine from pfizer and biontech is strongly effective early data from large trial indicate via statnews,ProVax
1242486272989462528,if the world doesn t get a vaccine quickly to end coronavirus pandemic the world especially africa will soon be hit by something more deadlier than covid 19 which is hunger remember about 10 million people in nigeria presently experience chronic hunger the consequences,ProVax
1331136477049155585,rahulgandhi 1 government should provide to poor people only because they cannot afford 2 only poor will get 3 money lying unused in pm rahat should be used for covid 19 vaccine for poor people this is useless kosh and should by closed after using the money available in it,ProVax
1334160426968502275,today s coronavirus news ontario is reporting 1 723 cases and 35 new deaths u k first to ok pfizer covid 19 vaccine for emergency use thornhill s promenade mall t amp t longo s dollarama charged,Neutral
1325891033746595851,good news on a vaccine but only if you can afford it 80 of countries will struggle without generic versions and pfizer is committed to maximise profits from a patent the world needs a patent free solution tyskysour,ProVax
1336321853837561857,thank you to young at heart ivy smith 97 who was one of the first people to have the covid19vaccine today at williamharveyhospital people will be notified as soon as the vaccine becomes available to them find out more,ProVax
1325795970119065600,nikkihaley pfizer realdonaldtrump nothing to do with trump delete tweet you look foolish,Neutral
1326001997150003200,abcnews covid19 vaccine ingredients need to be know does it contain dna from monkey swine dog human or aluminium formaldehyde mercury and or other toxins,AntiVax
1335233753975812096,a few hours of flu like symptoms absolutely worth it for this woman who was in a covid 19 vaccine trial,ProVax
1326963359728553984,via perilofafrica news moderna shares rise as investors await its covid vaccine data a surge in covid 19 infections across the us is giving pharmaceutical companies working on vaccines the data they need,Neutral
1325716028387520513,iran preparing to unveil human coronavirus vaccines soon,Neutral
